,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
30,frozenset({'tropical fruit'}),frozenset({'soda'}),0.0677671589921807,0.09710619528169484,0.005413352937245205,0.07988165680473373,0.822621631637461,-0.0011672580375351573,0.9812800835845246,-0.18785041489123108
31,frozenset({'soda'}),frozenset({'tropical fruit'}),0.09710619528169484,0.0677671589921807,0.005413352937245205,0.055746730901582935,0.822621631637461,-0.0011672580375351573,0.9872699110673189,-0.19277777654835418
32,frozenset({'beer'}),frozenset({'soda'}),0.12210118291786407,0.09710619528169484,0.009690570072846355,0.07936507936507937,0.8173019150307521,-0.0021662112397016955,0.9807294775388488,-0.20295131304305608
33,frozenset({'soda'}),frozenset({'beer'}),0.09710619528169484,0.12210118291786407,0.009690570072846355,0.09979353062629044,0.817301915030752,-0.0021662112397016955,0.9752194046027092,-0.19844791988039007
34,frozenset({'cereal'}),frozenset({'beer'}),0.06034886052262247,0.12210118291786407,0.006014836596939116,0.09966777408637872,0.8162719779170688,-0.0013538306606182757,0.9750831879768372,-0.19324760871935237
35,frozenset({'beer'}),frozenset({'cereal'}),0.12210118291786407,0.06034886052262247,0.006014836596939116,0.04926108374384236,0.8162719779170688,-0.0013538306606182757,0.9883377270150654,-0.20406691751646588
36,frozenset({'tropical fruit'}),frozenset({'rolls/buns'}),0.0677671589921807,0.11000467820624206,0.006081668114682885,0.08974358974358976,0.815816119886594,-0.0013730364032031967,0.9777413394353961,-0.19496248660235785
37,frozenset({'rolls/buns'}),frozenset({'tropical fruit'}),0.11000467820624206,0.0677671589921807,0.006081668114682885,0.05528554070473877,0.815816119886594,-0.0013730364032031967,0.9867879461729072,-0.202342854209094
38,frozenset({'whole milk'}),frozenset({'canned beer'}),0.15792287642852368,0.04691572545612511,0.006014836596939116,0.03808717731696996,0.81182113133023,-0.0013942297168230717,0.9908218833027613,-0.21585223170944204
39,frozenset({'canned beer'}),frozenset({'whole milk'}),0.04691572545612511,0.15792287642852368,0.006014836596939116,0.1282051282051282,0.8118211313302299,-0.0013942297168230717,0.9659119946849287,-0.19562985775040317
40,frozenset({'cereal'}),frozenset({'rolls/buns'}),0.06034886052262247,0.11000467820624206,0.005346521419501437,0.08859357696566998,0.8053619028780802,-0.0012921355624030328,0.9765076252488012,-0.20458129493146865
41,frozenset({'rolls/buns'}),frozenset({'cereal'}),0.11000467820624206,0.06034886052262247,0.005346521419501437,0.04860267314702309,0.8053619028780802,-0.0012921355624030328,0.9876537519666433,-0.21355796075467012
42,frozenset({'whole milk'}),frozenset({'rolls/buns'}),0.15792287642852368,0.11000467820624206,0.013967787208447505,0.0884468895471858,0.8040284376030019,-0.0034044679944763706,0.9763504853289926,-0.22447403737331859
43,frozenset({'rolls/buns'}),frozenset({'whole milk'}),0.11000467820624206,0.15792287642852368,0.013967787208447505,0.12697448359659783,0.8040284376030019,-0.0034044679944763706,0.9645504143344816,-0.2149864447279974
